Energy Count
1.904999 11
1.914999 12
1.924999 9
1.934999 7
1.944999 8
1.954998 10
1.964998 11
1.974998 17
1.984998 4
1.994998 6
2.004998 11
2.014998 2
2.024999 8
2.034998 9
2.044999 8
2.054998 8
2.064999 6
2.074998 14
2.084999 8
2.094998 7
2.104999 14
2.114998 10
2.124999 9
2.134998 7
2.144999 10
2.154998 8
2.164999 6
2.174998 8
2.184999 10
2.194998 2
2.204998 5
2.214998 9
2.224998 7
2.234998 7
2.244998 11
2.254998 11
2.264998 8
2.274998 5
2.284998 9
2.294998 7
2.304998 11
2.314998 9
2.324998 5
2.334998 6
2.344998 3
2.354998 3
2.364998 3
2.374998 8
2.384998 12
2.394998 9
2.404998 5
2.414998 5
2.424998 8
2.434998 6
2.444998 8
2.454998 3
2.464998 6
2.474998 5
2.484998 8
2.494998 5
2.504998 12
2.514998 8
2.524998 12
2.534998 4
2.544998 10
2.554998 4
2.564998 7
2.574998 10
2.584998 7
2.594998 6
2.604998 5
2.614998 5
2.624998 2
2.634998 6
2.644998 10
2.654998 7
2.664998 6
2.674998 3
2.684998 8
2.694998 6
2.704998 1
2.714998 1
2.724998 3
2.734998 4
2.744998 8
2.754998 5
2.764998 7
2.774998 2
2.784998 9
2.794998 7
2.804998 2
2.814998 6
2.824998 6
2.834998 5
2.844998 6
2.854998 7
2.864998 2
2.874998 4
2.884998 4
2.894998 5
2.904998 10
2.914998 5
2.924998 5
2.934998 8
2.944998 5
2.954998 7
2.964998 3
2.974998 3
2.984998 5
2.994998 4
3.004998 6
3.014997 4
3.024998 6
3.034997 8
3.044998 10
3.054997 5
3.064998 0
3.074997 3
3.084998 5
3.094997 4
3.104998 2
3.114997 5
3.124998 5
3.134997 6
3.144998 8
3.154997 2
3.164998 3
3.174997 6
3.184998 1
3.194997 5
3.204998 6
3.214997 5
3.224998 8
3.234997 6
3.244998 5
3.254997 2
3.264997 2
3.274997 6
3.284997 4
3.294997 5
3.304997 2
3.314997 4
3.324997 2
3.334997 8
3.344997 9
3.354997 4
3.364997 7
3.374997 3
3.384997 6
3.394997 4
3.404997 5
3.414997 3
3.424997 2
3.434997 5
3.444997 4
3.454997 3
3.464997 6
3.474997 4
3.484997 5
3.494997 4
3.504997 6
3.514997 5
3.524997 3
3.534997 3
3.544997 9
3.554997 2
3.564997 5
3.574997 3
3.584997 7
3.594997 2
3.604997 5
3.614997 2
3.624997 3
3.634997 5
3.644997 4
3.654997 6
3.664997 5
3.674997 5
3.684997 2
3.694997 3
3.704997 2
3.714997 2
3.724997 7
3.734997 5
3.744997 2
3.754997 6
3.764997 1
