z mu
0.01 33.1753512795
0.02 34.6969618386
0.03 35.5936389452
0.04 36.2343182697
0.05 36.7346232931
0.06 37.1460581773
0.07 37.4960987487
0.08 37.8011472486
0.09 38.0717848423
0.1 38.315237473
0.11 38.5366601615
0.12 38.7398601134
0.13 38.9277293907
0.14 39.1025167829
0.15 39.2660056543
0.16 39.4196342778
0.17 39.5645796236
0.18 39.7018171631
0.19 39.832164482
0.2 39.9563136948
0.21 40.0748559417
0.22 40.1883001833
0.23 40.2970878128
0.24 40.4016041579
0.25 40.5021876323
0.26 40.599137092
0.27 40.6927178029
0.28 40.7831663225
0.29 40.8706945247
0.3 40.9554929427
0.31 41.0377335634
0.32 41.1175721778
0.33 41.1951503706
0.34 41.2705972122
0.35 41.3440307057
0.36 41.41555903
0.37 41.4852816132
0.38 41.5532900618
0.39 41.6196689708
0.4 41.6844966301
0.41 41.747845644
0.42 41.8097834769
0.43 41.8703729334
0.44 41.9296725851
0.45 41.9877371478
0.46 42.0446178184
0.47 42.100362575
0.48 42.1550164462
0.49 42.2086217519
0.5 42.2612183201
0.51 42.3128436827
0.52 42.3635332516
0.53 42.4133204788
0.54 42.4622370008
0.55 42.5103127708
0.56 42.5575761781
0.57 42.6040541573
0.58 42.6497722883
0.59 42.6947548875
0.6 42.7390250914
0.61 42.7826049334
0.62 42.8255154142
0.63 42.867776567
0.64 42.9094075173
0.65 42.950426538
0.66 42.9908511005
0.67 43.0306979221
0.68 43.0699830096
0.69 43.1087216999
0.7 43.1469286979
0.71 43.1846181112
0.72 43.2218034831
0.73 43.2584978227
0.74 43.2947136335
0.75 43.3304629397
0.76 43.3657573107
0.77 43.4006078849
0.78 43.4350253905
0.79 43.4690201666
0.8 43.5026021816
0.81 43.5357810515
0.82 43.5685660562
0.83 43.600966156
0.84 43.6329900057
0.85 43.6646459691
0.86 43.6959421319
0.87 43.7268863142
0.88 43.7574860824
0.89 43.7877487598
0.9 43.8176814378
0.91 43.8472909852
0.92 43.8765840576
0.93 43.9055671068
0.94 43.9342463885
0.95 43.962627971
0.96 43.990717742
0.97 44.0185214164
0.98 44.0460445429
0.99 44.0732925104
1.0 44.1002705541
