GC logTe Fe/H MV Age Grp4c Grp3c
NGC_0104 3.756 -0.76 -9.42 0.97 3 3
NGC_0362 4.079 -1.16 -8.4 0.74 1 4
NGC_1261 4.079 -1.35 -7.81 0.75 1 4
NGC_1851 4.097 -1.22 -8.33 0.8 1 4
NGC_1904 4.352 -1.57 -7.86 0.9 1 1
NGC_2808 4.568 -1.15 -9.36 0.77 1 1
NGC_3201 4.079 -1.58 -7.49 0.77 1 3
NGC_4147 4.061 -1.83 -6.16 1.03 2 2
NGC_4372 4.114 -2.09 -7.77 0.98 2 2
NGC_4590 4.041 -2.06 -7.35 0.92 2 2
NGC_4833 4.301 -1.8 -8.01 1.01 2 1
NGC_5024 4.079 -1.99 -8.77 1.02 2 2
NGC_5634 4.146 -1.88 -7.75 0.98 2 1
NGC_5694 4.204 -1.86 -7.81 1.05 2 1
NGC_5824 4.38 -1.85 -8.84 1.02 1 1
NGC_5904 4.176 -1.27 -8.81 0.83 1 4
NGC_5927 3.724 -0.37 -7.8 0.94 3 3
NGC_5946 4.279 -1.38 -7.6 0.9 1 1
NGC_5986 4.415 -1.58 -8.42 0.91 1 1
NGC_6093 4.477 -1.75 -8.23 0.97 1 1
NGC_6139 4.146 -1.68 -8.36 NA 1 4
NGC_6171 3.875 -1.04 -7.13 0.98 3 3
NGC_6205 4.505 -1.54 -8.7 1.05 1 1
NGC_6218 4.217 -1.48 -7.32 0.94 1 1
NGC_6229 4.301 -1.43 -8.07 NA 1 1
NGC_6235 4.114 -1.4 -6.14 0.91 3 3
NGC_6266 4.477 -1.29 -9.19 0.92 1 1
NGC_6273 4.568 -1.68 -9.08 0.96 1 1
NGC_6284 4.279 -1.32 -7.87 0.86 1 1
NGC_6287 4.114 -2.05 -7.16 1.05 2 2
NGC_6304 3.724 -0.59 -7.32 NA 3 3
NGC_6342 3.778 -0.65 -6.44 0.92 3 3
NGC_6356 3.756 -0.5 -8.52 0.97 3 3
NGC_6362 3.954 -0.95 -7.06 0.91 3 3
NGC_6388 4.255 -0.6 -9.82 NA 1 4
NGC_6397 3.978 -1.95 -6.63 1 2 2
NGC_6441 4.23 -0.53 -9.47 NA 1 4
NGC_6544 4.176 -1.56 -6.56 0.84 3 3
NGC_6569 3.954 -0.86 -7.68 NA 3 3
NGC_6624 3.771 -0.44 -7.5 0.88 3 3
NGC_6637 3.748 -0.7 -7.52 0.89 3 3
NGC_6638 4.097 -0.99 -6.83 0.87 3 3
NGC_6642 4.061 -1.35 -6.57 NA 3 3
NGC_6652 4 -0.96 -6.57 0.89 3 3
NGC_6681 4.301 -1.51 -7.11 0.93 1 3
NGC_6717 4.114 -1.29 -5.67 0.92 3 3
NGC_6723 4.13 -1.12 -7.86 0.96 1 4
NGC_6838 3.763 -0.73 -5.56 0.91 3 3
NGC_6864 4.176 -1.16 -8.35 0.85 1 4
NGC_6934 4.13 -1.54 -7.65 0.85 2 3
NGC_6981 4 -1.4 -7.04 0.83 3 3
NGC_7078 4.477 -2.26 -9.17 0.94 1 1
NGC_7089 4.477 -1.62 -9.02 0.94 1 1
NGC_7099 4.079 -2.12 -7.43 1.08 2 2
