Ra	Dec	vlos	evlos	I	V-I	Fe/H
0.00179166666666	0.205972222222	-21.51	2.28	17.404	1.176	-1.862
0.000708333333336	0.00138888888888	-23.69	0.43	16.315	1.339	-3.412
-0.00191666666666	0.205972222222	-10.12	0.81	16.104	1.403	-3.451
-0.00195833333333	0.206388888889	-9.29	2.26	16.104	1.403	-1.848
-0.000749999999996	0.00763888888888	-12.01	2.27	16.941	1.239	-1.828
-0.00254166666667	0.221805555556	-28.08	2.37	18.556	1.056	-1.772
0.000541666666678	0.0193055555556	-19.13	2.27	16.837	1.269	-1.862
-0.00337499999999	0.00972222222222	-17.97	3.14	16.98	1.224	-1.455
0.00137500000001	0.163472222222	-33.98	0.64	16.124	1.398	-3.447
-0.00333333333333	0.174305555556	-10.22	0.43	16.487	1.327	-3.369
-0.00533333333333	0.224305555556	-22.57	2.28	17.362	1.163	-1.36
0.00404166666667	0.0276388888889	-11.76	2.27	17.244	1.203	-1.55
0.00666666666666	0.210972222222	-16.41	0.67	15.807	1.514	-3.501
0.00616666666667	0.0193055555556	-14.82	2.32	18.308	0.96	-2.088
0.00508333333335	0.155138888889	-16.79	0.58	15.924	1.461	-3.484
0.00333333333334	0.133472222222	-27.39	2.31	18.237	1.02	-1.89
0.00333333333334	0.133472222222	-29.97	2.29	18.237	1.02	-1.916
-0.00316666666666	0.0668055555556	-24.27	0.66	15.778	1.484	-3.517
0.007125	0.0413888888889	-15.95	0.56	15.923	1.466	-3.483
0.00416666666666	0.118055555556	-14.06	2.28	17.685	1.139	-1.473
0.00812500000001	0.134305555556	-22.23	2.48	19.701	0.853	-1.436
-0.00895833333334	0.145972222222	-29.27	0.44	16.413	1.324	-3.389
-0.0107083333333	0.201388888889	-27.17	0.53	16.23	1.339	-3.434
-0.0107083333333	0.201805555556	-24.91	2.28	16.23	1.339	-1.66
0.0117916666667	0.0309722222222	-20.37	2.28	17.798	1.105	-1.907
0.0125416666667	0.0122222222222	-5.15	2.27	17.37	1.146	-1.962
0.007625	0.0913888888889	-30.01	2.36	18.918	0.968	-1.848
-0.00854166666667	0.0909722222222	-19.32	2.28	17.542	1.152	-1.546
0.0129583333333	0.0255555555556	-12.22	0.61	15.94	1.44	-3.485
-0.011125	0.0734722222222	-24.11	2.28	17.758	1.123	-1.86
-0.003625	0.143472222222	-23.66	0.55	16.082	1.419	-3.453
-0.003625	0.143888888889	-19.46	2.26	16.082	1.419	-1.407
-0.00658333333334	0.140972222222	-16.24	0.71	15.939	1.455	-3.481
-0.00658333333334	0.141388888889	-18.86	2.27	15.939	1.455	-1.952
0.0155416666667	0.198472222222	-26.59	2.38	19.287	0.965	-1.533
-0.0151666666667	0.0184722222222	-31.31	2.31	17.711	1.172	-1.696
0.0105416666667	0.125138888889	-17.01	2.28	17.135	1.211	-1.607
0.00458333333333	0.162638888889	-22.81	0.58	16.113	1.421	-3.444
-0.0121666666667	0.0809722222222	-20.17	2.37	18.746	0.988	-1.712
-0.0112083333333	0.0668055555556	-24.32	2.27	16.887	1.259	-1.806
-0.0137916666667	0.119305555556	-29.22	2.27	16.588	1.301	-1.495
-0.0102916666667	0.157638888889	-22.16	0.63	16.037	1.432	-3.461
-0.0165833333333	0.0793055555555	-20.41	2.59	19.865	0.903	-1.527
0.00116666666668	0.204722222222	-15.34	2.43	16.715	1.348	-1.869
0.019125	0.0476388888889	-24.38	3.17	17.468	1.195	-1.605
0.00595833333334	-0.0123611111111	-15.56	0.53	15.635	1.645	-3.512
-0.0139166666667	0.0330555555556	-20.4	2.3	17.992	1.066	-1.914
-0.0132083333333	0.170972222222	-27.47	2.27	17.167	1.205	-1.388
0.014625	0.0305555555556	-25.5	2.28	16.291	1.37	-1.525
-0.00795833333332	0.214305555556	-25.41	2.28	16.895	1.256	-1.914
-0.00795833333332	0.214305555556	-24.02	2.26	16.895	1.256	-1.839
-0.00929166666667	0.217222222222	-21.48	2.27	17.66	1.163	-1.913
0.0179166666667	0.0538888888889	-23.79	2.48	19.785	0.966	-1.568
-0.00395833333333	0.188472222222	-21.13	2.28	17.721	1.064	-2.055
0.016	0.0251388888889	-26.25	2.28	17.506	1.164	-1.553
-0.0105416666667	0.213055555556	-23.49	0.83	16.673	1.295	-3.327
-0.0197916666667	0.105138888889	-19.59	2.3	16.892	1.239	-1.846
-0.0197916666667	0.105138888889	-19.57	2.27	16.892	1.239	-1.84
0.017875	0.152222222222	-14.82	2.26	16.121	1.409	-1.705
0.0225	0.127222222222	-20.23	2.31	18.633	1.049	-1.847
0.0131666666667	0.213055555556	-17.57	2.26	15.673	1.584	-1.989
-0.0179583333333	0.0293055555556	-19.95	2.29	17.628	1.165	-1.797
0.0111666666667	0.190555555556	-18.02	1.08	16.774	1.283	-3.303
0.0239166666667	0.134722222222	-19.99	0.46	16.054	1.449	-3.452
0.0239166666667	0.135138888889	-22.04	2.36	16.054	1.449	-1.798
0.0164166666667	-0.00444444444445	-18.24	2.27	17.702	1.133	-1.865
-0.00854166666667	0.175138888889	-28.05	2.49	19.735	0.94	-1.616
-0.0225833333333	0.103055555556	-19.78	2.66	19.872	0.94	-1.443
-0.0196666666667	0.166388888889	-19.11	4.42	17.557	1.163	-2.202
-0.0233333333333	0.0851388888889	-23.63	0.4	16.215	1.375	-3.429
-0.014875	0.178888888889	-20.96	1.28	16.937	1.235	-3.272
0.026875	0.136805555556	-37.39	2.28	17.607	1.122	-1.956
-0.02125	0.00972222222222	-23.2	2.58	19.713	0.944	-1.354
-0.023875	0.0447222222222	-23.53	2.28	17.085	1.234	-1.666
-0.02825	0.210555555556	-16.78	2.34	18.806	0.979	-1.915
-0.0272916666667	0.0655555555555	-26.52	0.61	15.783	1.492	-3.513
-0.027625	0.114305555556	-14.94	2.3	17.318	1.16	-1.95
-0.0215833333333	0.206388888889	-20.9	1.29	17.074	1.233	-3.236
0.0255	0.175972222222	-24.36	2.3	17.694	1.139	-1.649
-0.0205	0.184305555556	-18.45	0.98	17.09	1.218	-3.236
-0.0205416666667	0.184722222222	-18.87	2.27	17.09	1.218	-1.386
-0.0296666666667	0.116805555556	-22.03	2.37	18.71	1.048	-1.801
-0.0320833333333	0.226805555556	-23.9	2.28	17.388	1.2	-1.851
0.0130833333333	0.0997222222222	-21.25	2.29	18.378	1.078	-1.713
0.0309166666667	0.107222222222	-21.29	2.36	18.98	1.022	-1.781
0.033125	0.00555555555555	-12.57	2.49	19.408	0.974	-1.571
0.0144166666667	0.0988888888889	-22.4	1.26	17.877	1.112	-3.053
0.00475000000002	0.0588888888889	-23.08	2.43	19.256	1.011	-1.69
-0.0235	0.0251388888889	-21.63	1.31	17.461	1.145	-3.156
0.00916666666667	0.0659722222222	-22.99	2.46	19.33	1.001	-1.487
0.0342916666667	0.135138888889	-21.92	2.26	16.886	1.253	-1.406
0.0270416666667	0.183055555556	-18.1	2.26	15.951	1.455	-1.856
0.0205	0.0980555555556	-26.98	2.59	19.627	0.985	-1.439
-0.0357083333333	0.0563888888889	-18.27	2.39	19.105	0.993	-1.634
0.0352083333333	0.147222222222	-20.75	0.58	16.227	1.384	-3.423
-0.038875	0.0401388888889	-17.71	2.36	18.715	1.044	-1.483
-0.0255833333333	0.0972222222222	-24.02	2.28	17.292	1.201	-1.966
0.0374583333333	0.00347222222221	-18.67	2.27	17.229	1.18	-2.035
0.0272916666667	0.0738888888889	-24.4	2.27	17.649	1.16	-1.505
0.0404583333333	0.0509722222222	-21.68	1.11	17.544	1.158	-3.13
0.029625	0.0863888888889	-15.18	2.31	18.725	0.977	-1.917
0.0296666666667	0.109722222222	-18.9	2.29	18.275	1.083	-1.837
0.037875	0.207638888889	-18.07	2.29	18.286	1.036	-1.815
0.0417083333333	0.134722222222	-20.03	2.58	19.91	0.968	-1.82
0.0417083333333	0.134722222222	-15.77	2.45	19.91	0.968	-1.66
0.0434583333333	0.117222222222	-18.26	2.27	17.237	1.204	-1.885
0.0173333333333	-0.0269444444445	48.94	2.72	19.99	0.814	-0.742
0.0382083333333	0.178888888889	-17.45	2.33	19.055	1.02	-1.735
-0.0400416666667	0.237638888889	-17.79	2.33	17.79	1.077	-1.182
0.0389166666667	0.0434722222222	46.92	2.28	17.032	1.201	-1.329
-0.044625	0.123472222222	-16.32	2.27	16.959	1.202	-1.473
0.0055	0.140555555556	-26.05	0.92	15.761	1.507	-3.515
0.0295	0.0243055555556	-17.43	0.99	17.156	1.23	-3.215
0.0423333333333	0.218055555556	-17.7	1.16	17.409	1.186	-3.159
0.0423333333333	0.218472222222	-19.9	2.28	17.409	1.186	-1.679
-0.0466666666667	0.226388888889	-24.72	2.33	17.816	1.122	-1.915
-0.0466666666667	0.226388888889	-25.53	2.37	17.816	1.122	-1.864
0.0465416666667	0.0663888888889	-28.74	2.27	15.909	1.471	-1.774
0.040375	0.0355555555556	-16.56	2.56	19.591	0.982	-1.633
0.0345833333333	0.0622222222222	-17.49	2.42	19.347	1.006	-1.502
0.0345833333333	0.0622222222222	-20.19	2.41	19.347	1.006	-1.481
0.03525	0.123055555556	-20.75	1.04	16.849	1.242	-3.294
0.0480833333333	0.188055555556	-27.0	2.29	17.987	1.103	-1.522
0.0360833333333	0.0701388888889	-19.47	2.38	19.084	1.021	-1.704
-0.044125	0.205138888889	-18.05	2.28	16.595	1.305	-1.596
-0.044125	0.205138888889	-17.88	2.48	16.595	1.305	-1.57
-0.0454166666667	0.213472222222	-20.99	2.39	19.232	1.017	-1.865
0.0502916666667	0.0280555555556	-12.78	2.51	19.812	0.959	-1.755
0.049	0.0351388888889	-19.16	2.28	17.866	1.13	-1.776
0.00445833333333	0.0834722222222	-18.89	0.99	16.973	1.248	-3.259
-0.0428333333333	0.120138888889	-16.92	2.71	19.935	0.961	-1.725
0.0397916666667	0.0643055555555	-19.91	2.28	18.138	1.103	-1.901
-0.0502916666667	0.118055555556	-15.37	2.3	17.086	1.238	-1.725
-0.0502916666667	0.118055555556	-15.21	2.27	17.086	1.238	-1.726
0.028375	0.258472222222	-24.28	2.75	19.578	0.982	-1.197
-0.049125	0.227638888889	-20.78	2.28	17.126	1.202	-1.794
0.051875	0.185138888889	-21.84	2.33	18.922	1.042	-1.851
-0.0544583333333	0.176388888889	-18.69	2.44	19.246	1.037	-1.682
-0.0499583333333	0.190138888889	-18.73	2.28	17.698	1.16	-1.797
-0.0527916666667	0.0409722222222	-21.53	2.3	17.831	1.145	-1.753
-0.0527916666667	0.0409722222222	-19.1	2.29	17.831	1.145	-1.644
-0.0302916666667	0.113472222222	-21.52	2.29	17.898	1.138	-1.906
-0.0575	0.00263888888889	-20.69	2.51	19.68	1.0	-1.711
0.000375000000005	0.00555555555555	-18.57	2.45	19.612	0.901	-1.388
0.0229166666667	0.145972222222	-23.2	1.11	17.641	1.164	-3.102
-0.0500833333333	0.0630555555556	-20.64	0.69	16.456	1.341	-3.373
0.0597083333333	0.101805555556	-30.5	2.27	17.466	1.177	-1.786
0.0562083333333	0.162638888889	-23.47	2.41	19.638	0.971	-1.733
0.063125	0.112638888889	-21.79	2.68	19.822	0.967	-1.652
0.063125	0.112638888889	-22.51	2.62	19.822	0.967	-1.32
0.0447083333333	0.150555555556	-19.53	2.27	17.365	1.204	-1.839
0.0447083333333	0.150555555556	-19.46	2.27	17.365	1.204	-1.814
-0.0602916666667	0.0284722222222	-18.76	2.35	18.664	1.057	-1.833
0.021875	-0.0465277777778	-21.3	1.2	17.092	1.2	-3.24
0.0252083333333	-0.0477777777778	-4.13	2.29	17.985	1.071	-1.16
0.0594583333333	0.0763888888889	-20.77	2.3	18.517	0.987	-1.935
-0.043375	0.127222222222	-18.47	0.71	16.911	1.22	-3.283
-0.05975	0.154305555556	-21.43	0.97	16.892	1.255	-3.279
0.00120833333334	0.102222222222	-21.03	2.5	19.655	0.98	-1.312
0.0416666666667	0.0276388888889	-19.29	2.56	19.985	0.93	-1.349
-0.0717083333333	0.0322222222222	-22.11	2.32	18.272	1.122	-1.837
0.0607916666667	-0.0131944444445	-20.39	2.32	18.527	1.033	-1.551
0.0607916666667	-0.0131944444445	-22.09	2.32	18.527	1.033	-1.463
0.073125	0.160138888889	-20.04	2.35	18.872	1.016	-1.596
0.0405	0.155138888889	-21.51	2.31	18.866	1.021	-1.591
0.004625	0.176388888889	-20.67	0.89	16.655	1.286	-3.334
0.06425	0.165138888889	-22.53	2.27	17.19	1.211	-1.871
0.0671666666667	0.228055555556	-21.27	2.47	19.549	0.989	-1.666
-0.062375	0.0993055555555	-31.81	2.83	19.942	0.959	-1.598
0.07675	0.0959722222222	-23.01	2.38	19.129	1.02	-1.713
0.0699583333333	0.100972222222	16.42	2.63	19.655	0.978	-0.873
-0.08275	0.0538888888889	-22.42	2.33	18.673	0.999	-1.61
0.0778333333333	0.131805555556	-18.86	2.52	19.915	0.962	-1.54
-0.093375	0.140555555556	-21.16	2.28	17.821	1.094	-1.617
0.0477083333333	0.128055555556	18.9	2.52	19.661	0.867	-0.709
-0.0959583333333	0.116388888889	-20.42	2.36	18.95	1.015	-1.659
0.095875	0.0184722222222	-21.6	2.28	17.598	1.172	-1.772
0.10225	0.189722222222	-21.97	2.26	16.379	1.304	-1.452
0.0991666666667	0.198888888889	-20.96	2.29	17.018	1.233	-1.53
-0.10825	0.0176388888889	-14.86	2.34	19.085	1.02	-1.769
-0.116166666667	-0.00277777777778	13.43	2.27	16.84	1.19	-1.277
0.0979583333333	0.133472222222	-21.68	2.43	19.249	1.006	-1.545
-0.114625	-0.00819444444445	-21.44	2.26	16.637	1.285	-1.909
0.0981666666667	-0.00736111111112	-52.15	2.37	18.451	1.1	-0.993
0.13575	0.0930555555556	-18.55	2.32	17.867	1.053	-2.047
0.0916666666667	0.0951388888889	-21.54	2.51	19.722	0.947	-1.514
-0.14775	0.134305555556	-25.76	2.6	19.637	0.95	-1.705
0.142916666667	0.105555555556	-160.54	2.74	19.925	0.828	-0.867
-0.163208333333	0.104305555556	-19.04	2.29	17.645	1.119	-1.941
0.109625	-0.0815277777778	-21.92	2.52	19.273	0.956	-0.822
0.165375	-0.000277777777782	-5.18	2.5	19.69	0.968	-1.272
-0.193208333333	0.174305555556	-32.02	2.36	18.114	1.155	-0.977
-0.189916666667	-0.00736111111112	-14.08	2.51	18.711	1.12	-1.519
0.147083333333	-0.109027777778	-50.22	2.28	17.046	1.239	-1.127
0.170833333333	-0.0198611111111	-49.26	2.28	17.281	1.238	-1.082
0.195916666667	0.0859722222222	-21.06	2.54	16.729	1.317	-1.052
0.201125	0.0609722222222	-22.24	2.53	19.34	0.876	-1.066
