star mask ID RA1 RA2 RA3 Dec1 Dec2 Dec3 V deltaV I VI FeH R Multipleobs
1 mask 1 7 38 08.90 38 52 53.1 -21.506 2.277 17.404 1.176 -1.862 0.082 n
2 B09 S31 7 38 08.64 38 53 00.0 -23.690 0.430 16.315 1.339 -3.412 0.089 n
3 B09 S17 7 38 08.01 38 52 53.1 -10.120 0.810 16.104 1.403 -3.451 0.102 y
3 mask 2 7 38 08.00 38 52 53.2 -9.294 2.264 16.104 1.403 -1.848 0.103 y
4 mask 1 7 38 08.29 38 53 01.5 -12.013 2.270 16.941 1.239 -1.828 0.118 n
5 mask 1 7 38 07.86 38 52 56.9 -28.078 2.365 18.556 1.056 -1.772 0.131 n
6 mask 1 7 38 08.60 38 53 04.3 -19.134 2.269 16.837 1.269 -1.862 0.158 n
7 mask 2 7 38 07.66 38 53 02.0 -17.968 3.140 16.980 1.224 -1.455 0.203 n
8 B09 S22 7 38 08.80 38 52 42.9 -33.980 0.640 16.124 1.398 -3.447 0.208 n
9 B09 S38 7 38 07.67 38 52 45.5 -10.220 0.430 16.487 1.327 -3.369 0.226 n
10 mask 1 7 38 07.19 38 52 57.5 -22.569 2.282 17.362 1.163 -1.360 0.261 n
11 mask 2 7 38 09.44 38 53 06.3 -11.755 2.267 17.244 1.203 -1.550 0.262 n
12 B09 S5 7 38 10.07 38 52 54.3 -16.410 0.670 15.807 1.514 -3.501 0.304 n
13 mask 1 7 38 09.95 38 53 04.3 -14.820 2.319 18.308 0.960 -2.088 0.321 n
14 B09 S15 7 38 09.69 38 52 40.9 -16.790 0.580 15.924 1.461 -3.484 0.327 n
15 mask 1 7 38 09.27 38 52 35.7 -27.394 2.311 18.237 1.020 -1.890 0.353 y
15 mask 2 7 38 09.27 38 52 35.7 -29.969 2.289 18.237 1.020 -1.916 0.353 y
16 B09 S4 7 38 07.71 38 53 15.7 -24.270 0.660 15.778 1.484 -3.517 0.380 n
17 B09 S9 7 38 10.18 38 53 09.6 -15.950 0.560 15.923 1.466 -3.483 0.407 n
18 mask 2 7 38 09.47 38 52 32.0 -14.065 2.277 17.685 1.139 -1.473 0.425 n
19 mask 2 7 38 10.42 38 52 35.9 -22.231 2.482 19.701 0.853 -1.436 0.488 n
20 B09 S41 7 38 06.32 38 52 38.7 -29.270 0.440 16.413 1.324 -3.389 0.505 n
21 B09 S26 7 38 05.90 38 52 52.0 -27.170 0.530 16.230 1.339 -3.434 0.510 y
21 mask 1 7 38 05.90 38 52 52.1 -24.912 2.278 16.230 1.339 -1.660 0.510 y
