Energy Count
1.904999 1
1.914999 1
1.924999 1
1.934999 3
1.944999 1
1.954998 2
1.964998 0
1.974998 1
1.984998 1
1.994998 3
2.004998 0
2.014998 0
2.024999 2
2.034998 1
2.044999 1
2.054998 2
2.064999 2
2.074998 5
2.084999 2
2.094998 10
2.104999 5
2.114998 4
2.124999 11
2.134998 8
2.144999 9
2.154998 8
2.164999 9
2.174998 10
2.184999 6
2.194998 10
2.204998 10
2.214998 2
2.224998 5
2.234998 7
2.244998 5
2.254998 6
2.264998 8
2.274998 9
2.284998 7
2.294998 4
2.304998 8
2.314998 5
2.324998 8
2.334998 7
2.344998 4
2.354998 5
2.364998 4
2.374998 2
2.384998 3
2.394998 6
2.404998 12
2.414998 7
2.424998 5
2.434998 3
2.444998 7
2.454998 6
2.464998 8
2.474998 4
2.484998 6
2.494998 5
2.504998 9
2.514998 4
2.524998 13
2.534998 8
2.544998 11
2.554998 5
2.564998 10
2.574998 3
2.584998 6
2.594998 9
2.604998 6
2.614998 5
2.624998 5
2.634998 5
2.644998 2
2.654998 7
2.664998 9
2.674998 7
2.684998 6
2.694998 4
2.704998 9
2.714998 6
2.724998 2
2.734998 2
2.744998 4
2.754998 4
2.764998 9
2.774998 6
2.784998 9
2.794998 4
2.804998 11
2.814998 8
2.824998 3
2.834998 6
2.844998 7
2.854998 6
2.864998 8
2.874998 6
2.884998 3
2.894998 6
2.904998 7
2.914998 6
2.924998 10
2.934998 5
2.944998 7
2.954998 9
2.964998 5
2.974998 8
2.984998 3
2.994998 3
3.004998 6
3.014997 4
3.024998 8
3.034997 5
3.044998 6
3.054997 9
3.064998 10
3.074997 5
3.084998 3
3.094997 4
3.104998 5
3.114997 6
3.124998 2
3.134997 6
3.144998 7
3.154997 12
3.164998 11
3.174997 4
3.184998 5
3.194997 7
3.204998 1
3.214997 7
3.224998 7
3.234997 5
3.244998 10
3.254997 8
3.264997 7
3.274997 2
3.284997 2
3.294997 6
3.304997 4
3.314997 7
3.324997 5
3.334997 6
3.344997 4
3.354997 9
3.364997 11
3.374997 6
3.384997 8
3.394997 5
3.404997 6
3.414997 4
3.424997 6
3.434997 4
3.444997 2
3.454997 6
3.464997 6
3.474997 5
